series_id,contestant,cluster,archetype
1,Frank Skinner,0,Solid but Fading
1,Josh Widdicombe,0,Solid but Fading
1,Roisin Conaty,0,Chaotic Improvers
1,Romesh Ranganathan,2,Solid but Fading
1,Tim Key,3,Strugglers
2,Doc Brown,0,Chaotic Improvers
2,Joe Wilkinson,0,Chaotic Improvers
2,Jon Richardson,2,Elite but Chaotic
2,Katherine Ryan,2,Elite but Chaotic
2,Richard Osman,2,Elite but Chaotic
3,Al Murray,2,Solid but Fading
3,Dave Gorman,1,Strong & Consistent
3,Paul Chowdhry,0,Chaotic Improvers
3,Rob Beckett,1,Strong & Consistent
3,Sara Pascoe,3,Strugglers
4,Hugh Dennis,1,Strong & Consistent
4,Joe Lycett,1,Strong & Consistent
4,Lolly Adefope,1,Strong & Consistent
4,Mel Giedroyc,0,Chaotic Improvers
4,Noel Fielding,1,Strong & Consistent
5,Aisling Bea,2,Solid but Fading
5,Bob Mortimer,1,Strong & Consistent
5,Mark Watson,2,Solid but Fading
5,Nish Kumar,3,Strugglers
5,Sally Phillips,1,Strong & Consistent
7,Alice Levine,0,Chaotic Improvers
7,Asim Chaudhry,0,Chaotic Improvers
7,Liza Tarbuck,2,Elite but Chaotic
7,Russell Howard,2,Elite but Chaotic
7,Tim Vine,2,Elite but Chaotic
8,James Acaster,1,Strong & Consistent
8,Jessica Knappett,2,Elite but Chaotic
8,Kerry Godliman,1,Strong & Consistent
8,Phil Wang,3,Strugglers
8,Rhod Gilbert,2,Solid but Fading
9,Iain Stirling,2,Solid but Fading
9,Joe Thomas,0,Chaotic Improvers
9,Lou Sanders,1,Strong & Consistent
9,Paul Sinha,0,Chaotic Improvers
9,Sian Gibson,3,Strugglers
10,David Baddiel,3,Strugglers
10,Ed Gamble,1,Strong & Consistent
10,Jo Brand,1,Strong & Consistent
10,Katy Wix,2,Solid but Fading
10,Rose Matafeo,1,Strong & Consistent
11,Daisy May Cooper,2,Solid but Fading
11,Johnny Vegas,3,Strugglers
11,Katherine Parkinson,0,Chaotic Improvers
11,Mawaan Rizwan,0,Chaotic Improvers
11,Richard Herring,2,Elite but Chaotic
13,Charlotte Ritchie,0,Chaotic Improvers
13,Jamali Maddix,0,Chaotic Improvers
13,Lee Mack,0,Solid but Fading
13,Mike Wozniak,0,Solid but Fading
13,Sarah Kendall,2,Strong & Consistent
14,Alan Davies,1,Strong & Consistent
14,Desiree Burch,2,Solid but Fading
14,Guz Khan,2,Solid but Fading
14,Morgana Robinson,1,Strong & Consistent
14,Victoria Coren Mitchell,3,Strugglers
16,Ardal O'Hanlon,0,Chaotic Improvers
16,Bridget Christie,2,Solid but Fading
16,Chris Ramsey,2,Solid but Fading
16,Judi Love,0,Chaotic Improvers
16,Sophie Duker,2,Elite but Chaotic
18,Dara Ó Briain,2,Elite but Chaotic
18,Fern Brady,0,Solid but Fading
18,John Kearns,0,Chaotic Improvers
18,Munya Chawawa,0,Chaotic Improvers
18,Sarah Millican,1,Strong & Consistent
20,Frankie Boyle,1,Strong & Consistent
20,Ivo Graham,0,Chaotic Improvers
20,Jenny Eclair,2,Solid but Fading
20,Kiell Smith-Bynoe,0,Chaotic Improvers
20,Mae Martin,2,Elite but Chaotic
21,Julian Clary,3,Strugglers
21,Lucy Beaumont,0,Chaotic Improvers
21,Sam Campbell,2,Elite but Chaotic
21,Sue Perkins,3,Strugglers
21,Susan Wokoma,0,Chaotic Improvers
